# Prime knot PD codes for K3..K11.
# K3..K10: prime-link-knot-10 0.0.5 (MIT).
# K11: Spherogram 2.4.1 Hoste-Thistlethwaite table, shifted to 1-based labels.
K10a12|[[2,11,3,12],[4,18,5,17],[6,13,7,14],[8,19,9,20],[10,1,11,2],[12,7,13,8],[14,5,15,6],[16,4,17,3],[18,16,19,15],[20,9,1,10]]
K10a13|[[2,17,3,18],[4,8,5,7],[6,13,7,14],[8,2,9,1],[10,20,11,19],[12,16,13,15],[14,5,15,6],[16,3,17,4],[18,12,19,11],[20,10,1,9]]
K10a14|[[1,14,2,15],[3,17,4,16],[5,11,6,10],[7,19,8,18],[9,1,10,20],[11,5,12,4],[13,2,14,3],[15,13,16,12],[17,7,18,6],[19,9,20,8]]
K10a15|[[2,6,3,5],[4,16,5,15],[6,2,7,1],[8,17,9,18],[10,19,11,20],[12,7,13,8],[14,4,15,3],[16,14,17,13],[18,9,19,10],[20,11,1,12]]
K10a16|[[1,10,2,11],[3,15,4,14],[5,17,6,16],[7,19,8,18],[9,2,10,3],[11,20,12,1],[13,9,14,8],[15,7,16,6],[17,5,18,4],[19,12,20,13]]
K10a17|[[6,2,7,1],[12,4,13,3],[20,15,1,16],[16,7,17,8],[18,9,19,10],[8,17,9,18],[10,19,11,20],[14,6,15,5],[2,12,3,11],[4,14,5,13]]
K10a18|[[2,14,3,13],[4,10,5,9],[6,17,7,18],[8,15,9,16],[10,20,11,19],[12,2,13,1],[14,12,15,11],[16,7,17,8],[18,5,19,6],[20,4,1,3]]
K10a19|[[1,13,2,12],[3,15,4,14],[5,10,6,11],[7,16,8,17],[9,18,10,19],[11,1,12,20],[13,3,14,2],[15,8,16,9],[17,6,18,7],[19,5,20,4]]
K10a20|[[2,8,3,7],[4,15,5,16],[6,4,7,3],[8,2,9,1],[10,18,11,17],[12,20,13,19],[14,5,15,6],[16,14,17,13],[18,12,19,11],[20,10,1,9]]
K10a21|[[1,15,2,14],[3,13,4,12],[5,17,6,16],[7,11,8,10],[9,18,10,19],[11,1,12,20],[13,3,14,2],[15,5,16,4],[17,7,18,6],[19,8,20,9]]
K10a22|[[2,11,3,12],[4,18,5,17],[6,16,7,15],[8,14,9,13],[10,1,11,2],[12,19,13,20],[14,6,15,5],[16,8,17,7],[18,4,19,3],[20,9,1,10]]
K10a23|[[2,13,3,14],[4,11,5,12],[6,18,7,17],[8,19,9,20],[10,1,11,2],[12,3,13,4],[14,7,15,8],[16,6,17,5],[18,16,19,15],[20,9,1,10]]
